website,cdn,min,max,mean,media
tsa.gov,184.85.57.89,133.0,134.0,133.1,133.0
tsa.gov,184.27.42.120,181.0,182.0,181.4,181.0
tsa.gov,96.6.233.155,1.3,2.44,1.4470000000000003,1.31
tsa.gov,23.49.82.123,72.1,73.3,72.22999999999999,72.1
ccleaner.com,13.35.121.128,0.828,1.72,0.9338999999999998,0.844
ccleaner.com,18.66.147.112,144.0,144.0,144.0,144.0
ccleaner.com,18.66.147.66,146.0,146.0,146.0,146.0
ccleaner.com,18.239.94.55,143.0,143.0,143.0,143.0
ccleaner.com,18.238.80.13,68.1,68.3,68.13,68.1
ccleaner.com,108.156.133.107,172.0,173.0,172.1,172.0
ccleaner.com,18.238.80.11,66.7,67.2,66.83,66.8
ccleaner.com,18.67.110.20,137.0,137.0,137.0,137.0
ccleaner.com,13.33.165.47,67.0,68.2,67.14,67.0
ccleaner.com,108.159.61.68,236.0,237.0,236.1,236.0
ccleaner.com,13.35.121.121,0.843,0.991,0.8833,0.876
ccleaner.com,18.238.80.74,65.6,66.8,65.78,65.7
ccleaner.com,52.85.151.103,66.9,68.2,67.16,67.0
purestorage.com,18.239.199.81,0.298,1.26,0.6178,0.45099999999999996
purestorage.com,18.245.46.36,147.0,147.0,147.0,147.0
purestorage.com,18.67.39.60,66.9,68.3,67.2,67.0
purestorage.com,18.239.199.101,0.275,0.367,0.3046,0.293
purestorage.com,18.164.124.110,68.9,69.0,68.96,69.0
purestorage.com,108.157.254.81,176.0,180.0,176.5,176.0
purestorage.com,99.86.229.88,66.8,68.4,66.98999999999998,66.8
purestorage.com,18.239.199.81,0.29,1.47,0.4343,0.3265
purestorage.com,18.66.57.85,243.0,243.0,243.0,243.0
purestorage.com,108.156.60.20,140.0,142.0,140.2,140.0
purestorage.com,18.164.124.103,68.6,68.7,68.68000000000002,68.7
purestorage.com,13.35.147.113,136.0,138.0,136.2,136.0
hotwire.com,23.38.238.65,3.02,3.26,3.106,3.0949999999999998
hotwire.com,23.210.107.87,187.0,189.0,187.7,188.0
hotwire.com,23.38.139.165,179.0,179.0,179.0,179.0
hotwire.com,23.10.151.158,70.9,71.0,70.97,71.0
hotwire.com,23.2.83.49,60.3,60.4,60.30999999999999,60.3
hotwire.com,23.38.238.65,2.27,2.39,2.304,2.295
hotwire.com,23.2.218.70,140.0,141.0,140.1,140.0
hotwire.com,23.56.200.217,147.0,147.0,147.0,147.0
hotwire.com,23.211.236.70,132.0,133.0,132.1,132.0
hotwire.com,23.223.10.82,224.0,224.0,224.0,224.0
hotwire.com,23.201.183.150,65.6,65.8,65.70000000000002,65.7
thairath.co.th,3.168.86.89,0.798,1.9,0.9725999999999999,0.8534999999999999
thairath.co.th,3.168.86.103,0.77,0.861,0.8253999999999999,0.8274999999999999
thairath.co.th,13.33.165.46,67.0,67.9,67.11,67.0
thairath.co.th,18.239.18.98,140.0,141.0,140.4,140.0
thairath.co.th,52.222.214.5,147.0,148.0,147.1,147.0
thairath.co.th,13.227.254.20,191.0,192.0,191.1,191.0
thairath.co.th,18.65.244.36,146.0,147.0,146.1,146.0
thairath.co.th,13.32.151.87,67.1,67.6,67.15,67.1
thairath.co.th,13.35.93.92,70.0,70.6,70.11,70.05
thairath.co.th,13.35.93.114,68.3,68.5,68.38,68.4
thairath.co.th,3.168.86.6,0.766,1.67,0.9054,0.8185
thairath.co.th,52.222.214.72,149.0,150.0,149.1,149.0
thairath.co.th,18.172.78.44,234.0,235.0,234.1,234.0
gelderlander.nl,104.123.70.99,1.33,2.39,1.4840000000000002,1.39
gelderlander.nl,104.110.191.65,144.0,144.0,144.0,144.0
gelderlander.nl,104.86.110.121,135.0,136.0,135.1,135.0
gelderlander.nl,95.101.111.151,149.0,150.0,149.1,149.0
gelderlander.nl,23.41.4.73,18.5,19.8,18.67,18.55
gelderlander.nl,23.202.229.198,249.0,250.0,249.1,249.0
gelderlander.nl,23.54.118.20,182.0,182.0,182.0,182.0
gelderlander.nl,23.216.149.152,0.805,0.978,0.8449,0.823
gelderlander.nl,23.219.82.57,65.7,66.2,65.77000000000001,65.7
gelderlander.nl,23.45.49.42,70.9,71.2,70.97,70.95
gelderlander.nl,23.219.82.48,65.5,69.0,65.92999999999999,65.6
gelderlander.nl,23.216.149.146,0.774,0.982,0.8593999999999999,0.8385
gelderlander.nl,23.62.156.86,181.0,182.0,181.9,182.0
postman.co,13.227.74.51,1.43,2.22,1.533,1.455
postman.co,18.67.110.109,137.0,139.0,137.2,137.0
postman.co,18.172.78.75,243.0,243.0,243.0,243.0
postman.co,3.171.139.58,67.2,68.1,67.30000000000001,67.2
postman.co,13.32.99.107,147.0,149.0,147.7,148.0
postman.co,13.33.88.59,184.0,184.0,184.0,184.0
postman.co,3.171.139.31,66.3,67.3,66.42999999999998,66.3
postman.co,3.162.103.79,67.8,68.3,67.87999999999998,67.8
postman.co,18.239.69.67,142.0,143.0,142.1,142.0
postman.co,13.227.74.81,1.46,2.22,1.6509999999999998,1.5
postman.co,13.32.99.75,146.0,146.0,146.0,146.0
postman.co,18.67.17.71,71.2,72.3,71.31000000000002,71.2
onstove.com,18.238.192.17,0.282,0.364,0.3118,0.308
onstove.com,18.238.192.78,0.269,0.938,0.369,0.305
onstove.com,13.32.121.123,148.0,149.0,148.1,148.0
onstove.com,3.167.88.4,67.4,68.2,67.58,67.4
onstove.com,108.139.29.40,68.6,70.2,68.79,68.6
onstove.com,18.238.192.21,0.286,0.961,0.3834,0.318
onstove.com,13.35.210.57,177.0,178.0,177.1,177.0
onstove.com,13.35.210.114,212.0,213.0,212.1,212.0
onstove.com,13.32.121.110,145.0,145.0,145.0,145.0
onstove.com,18.161.216.35,223.0,224.0,223.1,223.0
onstove.com,108.139.29.26,68.3,71.9,68.87,68.4
onstove.com,18.245.96.43,65.5,65.9,65.63000000000001,65.6
onstove.com,13.227.219.37,138.0,139.0,138.8,139.0
bluebillywig.com,18.155.202.105,0.273,0.815,0.3809,0.334
bluebillywig.com,18.66.102.114,150.0,151.0,150.1,150.0
bluebillywig.com,18.66.102.87,148.0,148.0,148.0,148.0
bluebillywig.com,13.225.63.24,69.5,70.6,69.66,69.5
bluebillywig.com,18.155.202.105,0.294,1.17,0.4246,0.3245
bluebillywig.com,18.155.202.2,0.301,0.458,0.34120000000000006,0.324
